row_id,chemical_group,scaffold_group,fold,max_train_tanimoto,nearest_train_row
ACT-0002,CHEM-d6424bbb4fdfd4fc,121,0,0.8028169014084507,ACT-0035
ACT-0003,CHEM-b0fba725182ebc2a,121,0,0.8148148148148148,ACT-0015
ACT-0004,CHEM-c92710e3d6eeb360,121,0,0.8441558441558441,ACT-0010
ACT-0005,CHEM-47d89c52ed10945d,121,0,0.8048780487804879,ACT-0015
ACT-0006,CHEM-17548d87f54e504b,121,0,0.7564102564102564,ACT-0015
ACT-0007,CHEM-59d9ae3e54c4f6a7,121,0,0.8148148148148148,ACT-0015
ACT-0008,CHEM-760d5694ed64ea1a,121,0,0.7777777777777778,ACT-0023
ACT-0009,CHEM-dce53658f66755b7,121,0,0.7023809523809523,ACT-0015
ACT-0011,CHEM-22c855a70e723bb5,121,0,0.825,ACT-0015
ACT-0012,CHEM-64eab3a212832cda,121,0,0.75,ACT-0015
ACT-0013,CHEM-458d80f9007129f4,121,0,0.7682926829268293,ACT-0015
ACT-0017,CHEM-b39d5eb4ea77de19,121,0,0.7804878048780488,ACT-0032
ACT-0018,CHEM-e843b7dc899933cb,121,0,0.7951807228915663,ACT-0015
ACT-0019,CHEM-a96cfa7820d6773b,121,0,0.75,ACT-0023
ACT-0029,CHEM-1cf94792d5604073,121,0,0.7777777777777778,ACT-0023
ACT-0034,CHEM-c42ace1f16c0a32e,121,0,0.8023255813953488,ACT-0033
ACT-0039,CHEM-6059783a0a67ac07,121,0,0.7951807228915663,ACT-0040
ACT-0046,CHEM-fbe8d9652d52d92a,121,0,0.8148148148148148,ACT-0037
ACT-0047,CHEM-eb0fd52652b3924f,121,0,0.8589743589743589,ACT-0066
ACT-0052,CHEM-8d155f981d2045bb,121,0,0.84,ACT-0101
ACT-0054,CHEM-27a09ca08693a327,121,0,0.735632183908046,ACT-0066
ACT-0060,CHEM-42ccfc2759857d0a,121,0,0.7011494252873564,ACT-0066
ACT-0062,CHEM-7a18369f8edc1ef9,121,0,0.7837837837837838,ACT-0064
ACT-0063,CHEM-e3af42197365733a,121,0,0.8148148148148148,ACT-0066
ACT-0069,CHEM-0992dff5a582b21a,121,0,0.7142857142857143,ACT-0015
ACT-0070,CHEM-5233869dab2cecd6,121,0,0.8181818181818182,ACT-0101
ACT-0071,CHEM-1a3199a60684142c,121,0,0.7608695652173914,ACT-0094
ACT-0072,CHEM-1867c73baa16cc19,121,0,0.6966292134831461,ACT-0044
ACT-0075,CHEM-fdee6215052f0f83,121,0,0.6896551724137931,ACT-0015
ACT-0076,CHEM-77a5a4cd38f10001,121,0,0.7526881720430108,ACT-0094
ACT-0077,CHEM-6bf1dd9dd6929a54,121,0,0.6931818181818182,ACT-0015
ACT-0079,CHEM-f9aa79cca2340b18,121,0,0.627906976744186,ACT-0101
ACT-0080,CHEM-73c4e386926a7f99,121,0,0.627906976744186,ACT-0101
ACT-0081,CHEM-f9aa79cca2340b18,121,0,0.627906976744186,ACT-0101
ACT-0082,CHEM-a3ee8353bcdf567b,121,0,0.735632183908046,ACT-0066
ACT-0083,CHEM-492a1c0666493ebf,121,0,0.6296296296296297,ACT-0101
ACT-0084,CHEM-a3697fc0a140db3c,121,0,0.8,ACT-0094
